,Year,Day,Lat,Long,Magnitude
0,1971,107,48.0,35.0,2.8
1,1971,140,42.0,-24.0,2.0
2,1971,192,43.0,-47.0,1.9
3,1972,2,54.0,101.0,1.9
4,1972,261,12.0,46.0,1.0
5,1972,341,51.0,45.0,1.4
6,1972,344,-20.0,-80.0,1.2
7,1973,39,33.0,35.0,0.8
8,1973,72,-84.0,-134.0,3.2
9,1973,171,-1.0,-71.0,2.2
10,1973,274,-37.0,-29.0,1.1
11,1974,54,36.0,-16.0,0.7
12,1974,86,-48.0,-106.0,1.6
13,1974,109,-37.0,42.0,0.9
14,1974,149,,,0.6
15,1974,192,21.0,88.0,2.7
16,1975,3,29.0,-98.0,3.2
17,1975,12,75.0,40.0,1.7
18,1975,13,-2.0,-51.0,1.1
19,1975,44,-19.0,-26.0,1.4
20,1975,127,-49.0,-45.0,1.3
21,1975,147,3.0,-58.0,1.4
22,1975,314,-8.0,64.0,1.8
23,1976,4,50.0,30.0,1.8
24,1976,12,38.0,44.0,1.1
25,1976,66,50.0,-20.0,2.3
26,1976,68,-19.0,-12.0,1.8
27,1976,137,77.0,-10.0,1.5
